name,title,url
"10,000 Maniacs",In My Tribe,https://musicbrainz.org/release/53349b3c-d994-465e-a317-01853338178b
"10,000 Maniacs",The Wishing Chair,https://musicbrainz.org/release/6b54bc4b-f8a5-43c4-80e4-b5b4fe4b93c4
"10,000 Maniacs",Unplugged,https://musicbrainz.org/release/90bfbec9-862c-4334-b235-43ff5111de03
4 Non Blondes,"Bigger, Better, Faster, More",https://musicbrainz.org/release/9154385d-5ea3-4dc6-b5bb-b7433ba32243
7 Year Bitch,¡Viva Zapata!,https://musicbrainz.org/release/f36d8ca5-df31-4f0a-8b30-644dd61c9874
Abbey Lincoln,Abbey is Blue,https://musicbrainz.org/release-group/2fa972a2-9165-3423-9ab1-38ed7b07e807
Abbey Lincoln,People in Me,https://musicbrainz.org/release/339009a5-8ecc-4f78-af3c-0c7bccd5858a
Abbey Lincoln,A Turtle's Dream,https://musicbrainz.org/release/c415ccb6-432f-478e-ab9b-469231b6febb
Abbey Lincoln,When There is Love,https://musicbrainz.org/release/d20eecae-2fd1-45e9-895b-8a8089a02461
Adalberto Alvarez Y Su Son,Para Bailar Casino,https://musicbrainz.org/release/d06a18be-bdc4-417c-9e3c-2235e2fc71a7
Adrian Belew,Desire Of The Rhino King,https://musicbrainz.org/release/0396203d-228f-4d43-9e1b-a311d2796916
Adrian Belew,Lone Rhino,https://musicbrainz.org/release/e92792f7-ed85-4e80-8e38-c06646222c03
Adrian Belew,Mr Music Head,https://musicbrainz.org/release/12a04743-dff0-49b8-a5cb-e4368920cd30
Adrian Belew,Side Four,https://musicbrainz.org/release-group/9a5c7561-fdde-304f-9f1e-da67e09a55c5
Adrian Belew,Side One,https://musicbrainz.org/release/c28052f6-e133-3e90-aa7e-ac5727d649d6
Adrian Belew,Twang Bar King,https://musicbrainz.org/release/6ddcaf4c-d7e7-47f6-89c3-b28716bf79d0
Adrian Belew,Young Lions,https://musicbrainz.org/release-group/38a32ba3-77e1-35c1-83aa-828b7913fd1a
Adventures in Afropea 3 (various artists),Telling Stories To The Sea,https://musicbrainz.org/release/072a4350-7b24-47f9-af50-b66e1aa6b3c8
Aimee Mann,Bachelor No. 2,https://musicbrainz.org/release/595565db-6bfd-4772-a865-fa91d0259f53
Aimee Mann,Humpty Dumpty,https://musicbrainz.org/release/d4329f26-8577-4806-ab10-825f21846ba3
Aimee Mann,Lost In Space,https://musicbrainz.org/release/1b5879b4-b093-45e0-9ac6-a63f24b965d3
Airto Moreira,The Best Of Airto,https://musicbrainz.org/release/a0f0593e-8b75-401a-a90c-78c1e2192f38
Airto Moreira,Däfos,https://musicbrainz.org/release/a8145191-ef19-49e8-af44-a586e9d1f142
Airto Moreira,"Essential, the Very Best Of",https://musicbrainz.org/release/7903ef07-4f6a-4450-b573-38b2af7328da
Al Di Meola,Friday Night In San Francisco,https://musicbrainz.org/release/a52c0c4d-475a-3a4d-8119-7bccd3aafb12
Al Di Meola,The Guitar Trio,https://musicbrainz.org/release/e7f00093-ed11-4d77-970e-ae4351fdb41e
Al Di Meola,"Passion, Grace and Fire",https://musicbrainz.org/release/29a412d2-5252-3a6c-8aaf-3f3158e8bbf8
Al Kooper,Live Adventures,https://musicbrainz.org/release-group/af443909-b1fb-3be9-bd9f-452821fbb26d
Al Kooper,Super Session,https://musicbrainz.org/release/26fa86bf-be86-4d45-843d-4f48fc2ecfc9
Al Stewart,Year of the Cat,https://musicbrainz.org/release/8f195fea-549e-4659-97a8-d9e619361ab0
Albert Collins,Showdown!,https://musicbrainz.org/release/a4e3c15f-4052-49e8-9787-9b7d5d53aefc
Albert King,Born Under a Bad Sign,https://musicbrainz.org/release/9fa36ff8-ba96-3201-bda1-729389a87620
Alejandro Escovedo,By The Hand Of The Father,https://musicbrainz.org/release/0e7e13a7-0aa9-4d45-9213-2c86581d0ae7
Alejandro Escovedo,Gravity,https://musicbrainz.org/release-group/e125f303-665b-3487-8b19-a5edb6a46c25
